,hit_rate,precision,ndcg,diversity,novelty,serendipity
No Forgetting,0.12,0.022000000000000002,0.01747909746316507,0.618837528625532,0.6267579603287746,0.18598954775978896
Basic Time Decay,0.12,0.022000000000000002,0.01747909746316507,0.618837528625532,0.6267579603287746,0.18598954775978896
Basic Ebbinghaus,0.12,0.022000000000000002,0.01747909746316507,0.618837528625532,0.6267579603287746,0.18598954775978896
Basic Hybrid,0.12,0.022000000000000002,0.01747909746316507,0.618837528625532,0.6267579603287746,0.18598954775978896
Context-Aware Decay,0.12,0.024000000000000004,0.030298892135502884,0.5650132012523472,0.6297101627821478,0.20387685591362992
Context-Aware Ebbinghaus,0.12,0.024000000000000004,0.030298892135502884,0.5650132012523472,0.6297101627821478,0.20387685591362992
Frequency-Significance,0.12,0.024000000000000004,0.030298892135502884,0.5650132012523472,0.6297101627821478,0.20387685591362992
Context-Aware Hybrid,0.12,0.024000000000000004,0.030298892135502884,0.5650132012523472,0.6297101627821478,0.20387685591362992
